GeneID,padj,pvalue,lfcSE,stat,log2FoldChange,baseMean,Symbol,Description
990,1.21E-24,2.42E-27,0.1393,10.83233794,1.51,101.36,CDC6,cell division cycle 6
1031,1.36E-24,2.79E-27,0.1577,10.81911645,1.71,583.8,CDKN2C,cyclin dependent kinase inhibitor 2C
3976,1.40E-24,2.94E-27,0.2848,10.81435526,3.08,131.81,LIF,LIF interleukin 6 family cytokine
4060,1.55E-24,3.35E-27,0.2573,10.80238986,2.78,228.48,LUM,lumican
991,2.05E-24,4.53E-27,0.1866,10.77468155,2.01,154.19,CDC20,cell division cycle 20
80832,2.10E-24,4.74E-27,0.2341,10.7705155,2.52,228.63,APOL4,apolipoprotein L4
4751,3.56E-24,8.25E-27,0.1984,10.71949523,2.13,72.65,NEK2,NIMA related kinase 2
7465,4.23E-24,1.00E-26,0.1456,10.70161847,1.56,336.92,WEE1,WEE1 G2 checkpoint kinase
64151,4.27E-24,1.03E-26,0.1446,10.69872763,1.55,173.22,NCAPG,non-SMC condensin I complex subunit G
10135,5.50E-24,1.36E-26,0.1967,10.67318878,2.1,3229.58,NAMPT,nicotinamide phosphoribosyltransferase
55723,6.68E-24,1.68E-26,0.1709,10.65325225,1.82,98.87,ASF1B,anti-silencing function 1B histone chaperone
10460,6.72E-24,1.73E-26,0.1358,10.65080543,1.45,278.23,TACC3,transforming acidic coiled-coil containing protein 3
374946,8.79E-24,2.31E-26,0.2015,10.62390886,2.14,323.71,DRAXIN,dorsal inhibitory axon guidance protein
1111,9.36E-24,2.50E-26,0.1075,10.61623589,1.14,190.46,CHEK1,checkpoint kinase 1
7422,9.74E-24,2.66E-26,0.238,10.61076515,2.53,2707.78,VEGFA,vascular endothelial growth factor A
56975,1.21E-23,3.44E-26,0.1621,10.58662371,1.72,1443.8,FAM20C,FAM20C golgi associated secretory pathway kinase
182,1.21E-23,3.41E-26,0.1303,10.58729872,1.38,1211.16,JAG1,jagged canonical Notch ligand 1
1033,1.42E-23,4.10E-26,0.1478,10.57016701,1.56,63.24,CDKN3,cyclin dependent kinase inhibitor 3
54751,1.84E-23,5.40E-26,0.1979,10.54427927,2.09,205.68,FBLIM1,filamin binding LIM protein 1
10403,2.48E-23,7.41E-26,0.1816,10.51443301,1.91,98.46,NDC80,NDC80 kinetochore complex component
7130,4.25E-23,1.29E-25,0.2033,10.46197366,2.13,46.94,TNFAIP6,TNF alpha induced protein 6
83540,4.94E-23,1.53E-25,0.1735,10.44617832,1.81,125.13,NUF2,NUF2 component of NDC80 kinetochore complex
157506,5.75E-23,1.81E-25,0.2146,10.43017107,2.24,720.12,RDH10,retinol dehydrogenase 10
10714,7.23E-23,2.31E-25,0.0544,10.4068571,5.66E-01,308.36,POLD3,"DNA polymerase delta 3, accessory subunit"
1058,7.56E-23,2.45E-25,0.2112,10.40112266,2.2,40.12,CENPA,centromere protein A
890,7.69E-23,2.53E-25,0.1377,10.39793809,1.43,180.2,CCNA2,cyclin A2
3838,8.47E-23,2.83E-25,0.0941,10.38729438,9.78E-01,960.4,KPNA2,karyopherin subunit alpha 2
24137,8.82E-23,2.99E-25,0.1757,10.38201608,1.82,175.4,KIF4A,kinesin family member 4A
493869,1.22E-22,4.22E-25,0.2398,10.34914275,2.48,85.06,GPX8,glutathione peroxidase 8 (putative)
55013,1.42E-22,4.97E-25,0.1742,10.33361987,1.8,188.61,MCUB,mitochondrial calcium uniporter dominant negative subunit beta
1282,1.53E-22,5.43E-25,0.2819,10.32499365,2.91,4340.92,COL4A1,collagen type IV alpha 1 chain
100874203,1.75E-22,6.32E-25,0.2604,10.31052135,2.68,99.1,COL4A2-AS1,COL4A2 antisense RNA 1
6241,1.94E-22,7.10E-25,0.2036,10.29921161,2.1,300.79,RRM2,ribonucleotide reductase regulatory subunit M2
6790,2.39E-22,8.87E-25,0.1407,10.27786629,1.45,96.97,AURKA,aurora kinase A
7272,2.66E-22,9.97E-25,0.1926,10.26652927,1.98,96,TTK,TTK protein kinase
1295,4.32E-22,1.64E-24,0.3023,10.21813933,3.09,215.58,COL8A1,collagen type VIII alpha 1 chain
2335,5.31E-22,2.05E-24,0.211,10.19677053,2.15,11836.71,FN1,fibronectin 1
4605,6.68E-22,2.61E-24,0.2286,10.17315033,2.33,239.8,MYBL2,MYB proto-oncogene like 2
22974,7.39E-22,2.93E-24,0.175,10.16202369,1.78,436.54,TPX2,TPX2 microtubule nucleation factor
4320,7.53E-22,3.02E-24,0.2328,10.15893392,2.37,71.05,MMP11,matrix metallopeptidase 11
283120,7.87E-22,3.20E-24,0.3819,10.15338339,3.88,163.76,H19,H19 imprinted maternally expressed transcript
64778,8.80E-22,3.62E-24,0.1164,10.1413077,1.18,618.89,FNDC3B,fibronectin type III domain containing 3B
1284,9.85E-22,4.11E-24,0.2584,10.12907187,2.62,3799.56,COL4A2,collagen type IV alpha 2 chain
51330,1.07E-21,4.51E-24,0.2367,10.11980619,2.4,279.75,TNFRSF12A,TNF receptor superfamily member 12A
10630,1.14E-21,4.88E-24,0.276,10.11209732,2.79,917.9,PDPN,podoplanin
195828,1.22E-21,5.28E-24,0.1325,10.10440438,1.34,180.03,ZNF367,zinc finger protein 367
7171,1.24E-21,5.43E-24,0.1136,10.10174879,1.15,3844.84,TPM4,tropomyosin 4
9833,1.54E-21,6.80E-24,0.196,10.07958142,1.98,103,MELK,maternal embryonic leucine zipper kinase
100288637,1.55E-21,6.95E-24,0.1436,10.07747981,1.45,51.24,LOC100288637,OTU deubiquitinase 7A pseudogene
11004,1.59E-21,7.18E-24,0.1903,10.07422842,1.92,170.23,KIF2C,kinesin family member 2C
102724852,1.73E-21,7.94E-24,0.39,10.06430999,3.92,177.36,LOC102724852,replaced by ID 100033819
9055,1.95E-21,9.04E-24,0.1352,10.05161098,1.36,394.81,PRC1,protein regulator of cytokinesis 1
283431,2.15E-21,1.01E-23,0.1662,10.04100873,1.67,106.32,GAS2L3,growth arrest specific 2 like 3
4256,2.18E-21,1.04E-23,0.2657,10.03770133,2.67,860.97,MGP,matrix Gla protein
100507118,2.18E-21,1.04E-23,0.1425,10.03730088,1.43,67.73,PRC1-AS1,PRC1 antisense RNA 1
23397,2.47E-21,1.21E-23,0.1702,10.02313708,1.71,143.46,NCAPH,non-SMC condensin I complex subunit H
11065,2.47E-21,1.20E-23,0.2159,10.02384853,2.16,168.58,UBE2C,ubiquitin conjugating enzyme E2 C
4016,2.72E-21,1.35E-23,0.2236,10.01235821,2.24,113.98,LOXL1,lysyl oxidase like 1
699,3.19E-21,1.59E-23,0.179,9.99580027,1.79,168.06,BUB1,BUB1 mitotic checkpoint serine/threonine kinase
983,3.35E-21,1.69E-23,0.1897,9.98994972,1.89,228.4,CDK1,cyclin dependent kinase 1
79022,4.48E-21,2.28E-23,0.0874,9.95994134,8.71E-01,574.19,TMEM106C,transmembrane protein 106C
150468,4.96E-21,2.55E-23,0.1957,9.94883913,1.95,119.25,CKAP2L,cytoskeleton associated protein 2 like
55055,5.89E-21,3.06E-23,0.0889,9.93077042,8.83E-01,174.72,ZWILCH,zwilch kinetochore protein
1063,6.05E-21,3.17E-23,0.1869,9.92710897,1.86,656.3,CENPF,centromere protein F
1289,6.10E-21,3.23E-23,0.2586,9.92533523,2.57,620.7,COL5A1,collagen type V alpha 1 chain
255743,6.24E-21,3.34E-23,0.2454,9.92209478,2.43,614.68,NPNT,nephronectin
3915,6.52E-21,3.52E-23,0.1547,9.91669255,1.53,1503.48,LAMC1,laminin subunit gamma 1
80381,9.45E-21,5.15E-23,0.1248,9.87859665,1.23,1162.81,CD276,CD276 molecule
6781,1.24E-20,6.91E-23,0.3134,9.84921018,3.09,103.73,STC1,stanniocalcin 1
10635,1.24E-20,6.87E-23,0.1412,9.8498004,1.39,109.07,RAD51AP1,RAD51 associated protein 1
541471,1.29E-20,7.25E-23,0.2081,9.8443077,2.05,160.3,MIR4435-2HG,MIR4435-2 host gene
8836,1.46E-20,8.29E-23,0.0958,9.83092185,9.42E-01,257.84,GGH,gamma-glutamyl hydrolase
151246,1.47E-20,8.39E-23,0.1071,9.82969441,1.05,148.5,SGO2,shugoshin 2
839,1.51E-20,8.72E-23,0.1002,9.82582705,9.85E-01,94.36,CASP6,caspase 6
9124,2.56E-20,1.49E-22,0.22,9.77165983,2.15,217.14,PDLIM1,PDZ and LIM domain 1
4234,2.89E-20,1.70E-22,0.167,9.75855861,1.63,242.15,METTL1,"methyltransferase 1, tRNA methylguanosine"
55789,3.04E-20,1.80E-22,0.1779,9.75268155,1.73,66.78,DEPDC1B,DEP domain containing 1B
1827,3.29E-20,1.96E-22,0.1655,9.74374721,1.61,2707.84,RCAN1,regulator of calcineurin 1
5111,3.32E-20,2.00E-22,0.0814,9.74180905,7.93E-01,821.9,PCNA,proliferating cell nuclear antigen
5888,3.44E-20,2.09E-22,0.1487,9.73753376,1.45,55.53,RAD51,RAD51 recombinase
84668,3.99E-20,2.44E-22,0.1012,9.72156069,9.84E-01,622.15,HYCC1,hyccin PI4KA lipid kinase complex subunit 1
4001,4.94E-20,3.05E-22,0.1582,9.69892375,1.53,556.43,LMNB1,lamin B1
8038,5.51E-20,3.43E-22,0.2358,9.68684784,2.28,240.27,ADAM12,ADAM metallopeptidase domain 12
112597,5.88E-20,3.69E-22,0.2239,9.67927662,2.17,62.76,CYTOR,cytoskeleton regulator RNA
2305,6.46E-20,4.09E-22,0.1798,9.66891927,1.74,431.44,FOXM1,forkhead box M1
4223,7.31E-20,4.66E-22,0.3423,9.65537678,3.31,82.48,MEOX2,mesenchyme homeobox 2
5982,9.35E-20,6.01E-22,0.0626,9.62936102,6.03E-01,412.79,RFC2,replication factor C subunit 2
23480,1.11E-19,7.19E-22,0.18,9.610865,1.73,766.06,SEC61G,SEC61 translocon subunit gamma
84823,1.26E-19,8.23E-22,0.0864,9.59704017,8.29E-01,1048.25,LMNB2,lamin B2
100302739,1.33E-19,8.73E-22,0.0842,9.59090255,8.07E-01,148.34,PCNA-AS1,PCNA antisense RNA 1
3371,1.47E-19,9.78E-22,0.2059,9.57916473,1.97,5866.34,TNC,tenascin C
51512,1.58E-19,1.06E-21,0.1735,9.57117747,1.66,173.97,GTSE1,G2 and S-phase expressed 1
112268460,2.04E-19,1.37E-21,0.1282,9.54408191,1.22,42.4,LOC112268460,uncharacterized LOC112268460
84034,2.36E-19,1.60E-21,0.1985,9.52802634,1.89,191.09,EMILIN2,elastin microfibril interfacer 2
2717,2.52E-19,1.73E-21,0.0757,9.52035057,7.21E-01,189.3,GLA,galactosidase alpha
1192,2.81E-19,1.94E-21,0.1736,9.50817361,1.65,935.35,CLIC1,chloride intracellular channel 1
9156,3.05E-19,2.12E-21,0.19,9.49890799,1.8,81.16,EXO1,exonuclease 1
8407,3.55E-19,2.48E-21,0.1799,9.48249094,1.71,1797.29,TAGLN2,transgelin 2
11167,3.61E-19,2.54E-21,0.1688,9.47994015,1.6,2093.65,FSTL1,follistatin like 1
701,4.18E-19,2.97E-21,0.1961,9.46391869,1.86,148.89,BUB1B,BUB1 mitotic checkpoint serine/threonine kinase B
121457,4.34E-19,3.10E-21,0.121,9.4592901,1.14,194.95,IKBIP,IKBKB interacting protein
9787,4.84E-19,3.48E-21,0.2296,9.44706922,2.17,86.98,DLGAP5,DLG associated protein 5
1164,4.91E-19,3.56E-21,0.1461,9.44472417,1.38,172.74,CKS2,CDC28 protein kinase regulatory subunit 2
51203,6.46E-19,4.72E-21,0.1926,9.4153139,1.81,413.44,NUSAP1,nucleolar and spindle associated protein 1
23529,7.78E-19,5.72E-21,0.2432,9.39500477,2.28,52.33,CLCF1,cardiotrophin like cytokine factor 1
54210,7.83E-19,5.80E-21,0.3096,9.3935853,2.91,88.5,TREM1,triggering receptor expressed on myeloid cells 1
5932,7.89E-19,5.89E-21,0.0907,9.39198714,8.52E-01,402.69,RBBP8,"RB binding protein 8, endonuclease"
54478,8.05E-19,6.05E-21,0.1784,9.38919135,1.67,142.94,PIMREG,PICALM interacting mitotic regulator
7042,8.91E-19,6.73E-21,0.2276,9.37782239,2.13,949.23,TGFB2,transforming growth factor beta 2
57124,9.72E-19,7.40E-21,0.2549,9.3679225,2.39,266.14,CD248,CD248 molecule
7291,1.04E-18,7.94E-21,0.1984,9.36044877,1.86,42.12,TWIST1,twist family bHLH transcription factor 1
89839,1.42E-18,1.10E-20,0.1364,9.32630434,1.27,29.12,ARHGAP11B,Rho GTPase activating protein 11B
813,1.47E-18,1.14E-20,0.1385,9.32210991,1.29,2666.87,CALU,calumenin
115273,1.69E-18,1.32E-20,0.172,9.30658401,1.6,44.13,RAB42,"RAB42, member RAS oncogene family"
4323,1.74E-18,1.38E-20,0.19,9.30199889,1.77,1589.74,MMP14,matrix metallopeptidase 14
7153,1.74E-18,1.38E-20,0.2208,9.30174253,2.05,1040.03,TOP2A,DNA topoisomerase II alpha
3688,1.75E-18,1.39E-20,0.1276,9.30088976,1.19,3284.89,ITGB1,integrin subunit beta 1
9824,1.78E-18,1.43E-20,0.1451,9.29790773,1.35,182.2,ARHGAP11A,Rho GTPase activating protein 11A
7915,2.07E-18,1.68E-20,0.0948,-9.28124705,-8.80E-01,2552.61,ALDH5A1,aldehyde dehydrogenase 5 family member A1
79682,2.24E-18,1.82E-20,0.1416,9.27237638,1.31,160.87,CENPU,centromere protein U
6769,2.32E-18,1.89E-20,0.2757,9.26810841,2.56,58.05,STAC,SH3 and cysteine rich domain
113130,2.54E-18,2.09E-20,0.1496,9.25776106,1.39,226.34,CDCA5,cell division cycle associated 5
11082,2.84E-18,2.35E-20,0.3703,9.24518075,3.42,172.15,ESM1,endothelial cell specific molecule 1
3678,3.14E-18,2.62E-20,0.1835,9.23363997,1.69,544.39,ITGA5,integrin subunit alpha 5
63950,3.15E-18,2.64E-20,0.3125,9.23257305,2.88,84.22,DMRTA2,DMRT like family A2
112268430,3.39E-18,2.86E-20,0.2089,9.22393934,1.93,186.99,LOC112268430,
4175,3.54E-18,3.01E-20,0.073,9.21864407,6.73E-01,578.82,MCM6,minichromosome maintenance complex component 6
7298,3.66E-18,3.12E-20,0.1409,9.2146828,1.3,286.11,TYMS,thymidylate synthetase
406975,3.81E-18,3.27E-20,0.1758,9.20961594,1.62,62.3,MIR198,microRNA 198
9768,4.11E-18,3.55E-20,0.1787,9.20081792,1.64,87.42,PCLAF,PCNA clamp associated factor
151648,4.79E-18,4.16E-20,0.184,9.183738,1.69,47.19,SGO1,shugoshin 1
259266,4.82E-18,4.21E-20,0.2202,9.18245592,2.02,222.88,ASPM,assembly factor for spindle microtubules
9212,4.87E-18,4.28E-20,0.2043,9.18074244,1.88,90.25,AURKB,aurora kinase B
2316,5.05E-18,4.47E-20,0.1569,9.17619798,1.44,7951.34,FLNA,filamin A
137872,5.35E-18,4.76E-20,0.1069,-9.16924464,-9.81E-01,468.97,ADHFE1,alcohol dehydrogenase iron containing 1
84515,5.54E-18,4.96E-20,0.0902,9.16485537,8.26E-01,235.29,MCM8,minichromosome maintenance 8 homologous recombination repair factor
147841,5.77E-18,5.19E-20,0.1886,9.15990895,1.73,81.86,SPC24,SPC24 component of NDC80 kinetochore complex
1163,6.28E-18,5.68E-20,0.0994,9.15020095,9.10E-01,192.47,CKS1B,CDC28 protein kinase regulatory subunit 1B
9953,6.65E-18,6.05E-20,0.2674,9.14339445,2.45,83.58,HS3ST3B1,heparan sulfate-glucosamine 3-sulfotransferase 3B1
84057,7.43E-18,6.80E-20,0.163,9.13074568,1.49,33.14,MND1,meiotic nuclear divisions 1
858,7.54E-18,6.94E-20,0.1724,9.1285815,1.57,300.96,CAV2,caveolin 2
83888,9.47E-18,8.77E-20,0.2597,9.1031707,2.36,49.88,FGFBP2,fibroblast growth factor binding protein 2
1117,1.06E-17,9.84E-20,0.3301,9.09069765,3,1624.04,CHI3L2,chitinase 3 like 2
5054,1.10E-17,1.03E-19,0.2879,9.08550945,2.62,1087.34,SERPINE1,serpin family E member 1
79980,1.26E-17,1.18E-19,0.0786,9.07050203,7.13E-01,193.69,DSN1,DSN1 component of MIS12 kinetochore complex
221150,1.33E-17,1.26E-19,0.1791,9.06371883,1.62,83.8,SKA3,spindle and kinetochore associated complex subunit 3
55215,1.34E-17,1.28E-19,0.1142,9.06205959,1.03,441.23,FANCI,FA complementation group I
302,1.38E-17,1.32E-19,0.2246,9.05840639,2.03,1852.23,ANXA2,annexin A2
9398,1.42E-17,1.36E-19,0.133,9.0551484,1.2,291.94,CD101,CD101 molecule
5347,1.43E-17,1.38E-19,0.1462,9.05358083,1.32,181.97,PLK1,polo like kinase 1
25895,1.53E-17,1.49E-19,0.1704,9.04567715,1.54,231.74,EEF1AKMT3,EEF1A lysine methyltransferase 3
3339,1.60E-17,1.56E-19,0.1969,9.04043266,1.78,1129.4,HSPG2,heparan sulfate proteoglycan 2
55355,1.70E-17,1.67E-19,0.1989,9.03329559,1.8,117.77,HJURP,Holliday junction recognition protein
84296,1.93E-17,1.91E-19,0.1035,9.01834079,9.33E-01,85.5,GINS4,GINS complex subunit 4
23306,1.98E-17,1.96E-19,0.0833,9.01539185,7.51E-01,474.03,NEMP1,nuclear envelope integral membrane protein 1
107985017,2.04E-17,2.03E-19,0.2039,9.01152493,1.84,22.92,LOC107985017,uncharacterized LOC107985017
83879,2.41E-17,2.42E-19,0.1705,8.99254034,1.53,264.09,CDCA7,cell division cycle associated 7
55706,2.54E-17,2.56E-19,0.0697,8.9860997,6.27E-01,368.6,NDC1,NDC1 transmembrane nucleoporin
3833,2.72E-17,2.76E-19,0.1925,8.97793168,1.73,222.24,KIFC1,kinesin family member C1
144455,2.95E-17,3.01E-19,0.2004,8.96850874,1.8,68.81,E2F7,E2F transcription factor 7
2882,3.72E-17,3.81E-19,0.1105,8.94237884,9.88E-01,147.94,GPX7,glutathione peroxidase 7
55839,3.85E-17,3.96E-19,0.085,8.93797229,7.59E-01,241.4,CENPN,centromere protein N
55872,4.21E-17,4.35E-19,0.2127,8.92772036,1.9,174.46,PBK,PDZ binding kinase
3912,4.31E-17,4.48E-19,0.1986,8.92435276,1.77,1020.6,LAMB1,laminin subunit beta 1
1408,4.34E-17,4.54E-19,0.097,-8.92304439,-8.66E-01,1584.91,CRY2,cryptochrome circadian regulator 2
10733,4.57E-17,4.80E-19,0.1401,8.91675585,1.25,123.51,PLK4,polo like kinase 4
586,4.79E-17,5.05E-19,0.1743,8.91118312,1.55,773.87,BCAT1,branched chain amino acid transaminase 1
9697,5.53E-17,5.86E-19,0.1239,8.89457338,1.1,392.6,TRAM2,translocation associated membrane protein 2
64411,5.69E-17,6.06E-19,0.1576,8.89100962,1.4,360.55,ARAP3,"ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 3"
11117,5.83E-17,6.24E-19,0.167,8.88775487,1.48,654.69,EMILIN1,elastin microfibril interfacer 1
6941,7.01E-17,7.54E-19,0.1149,8.86664507,1.02,217.53,TCF19,transcription factor 19
5355,7.09E-17,7.66E-19,0.1863,8.86488468,1.65,224.2,PLP2,proteolipid protein 2
157313,7.21E-17,7.83E-19,0.1998,8.86238278,1.77,71.79,CDCA2,cell division cycle associated 2
401944,7.33E-17,7.99E-19,0.2153,8.86009392,1.91,184.05,LDLRAD2,low density lipoprotein receptor class A domain containing 2
25886,7.75E-17,8.50E-19,0.1242,8.85332258,1.1,90.38,POC1A,POC1 centriolar protein A
2746,7.91E-17,8.71E-19,0.1029,-8.85058759,-9.11E-01,9086.59,GLUD1,glutamate dehydrogenase 1
2014,8.49E-17,9.39E-19,0.2558,8.84212494,2.26,294.82,EMP3,epithelial membrane protein 3
100129836,8.75E-17,9.72E-19,0.258,8.83823215,2.28,35.73,COL4A2-AS2,COL4A2 antisense RNA 2
81671,9.35E-17,1.04E-18,0.1054,8.83031658,9.31E-01,1394.91,VMP1,vacuole membrane protein 1
83990,9.41E-17,1.06E-18,0.1876,8.82912171,1.66,83.89,BRIP1,BRCA1 interacting helicase 1
4017,9.75E-17,1.10E-18,0.2115,8.82458677,1.87,402.59,LOXL2,lysyl oxidase like 2
122769,9.97E-17,1.13E-18,0.095,8.82163629,8.38E-01,86.45,LRR1,leucine rich repeat protein 1
58505,1.06E-16,1.20E-18,0.0911,8.81426487,8.03E-01,461.73,OSTC,oligosaccharyltransferase complex non-catalytic subunit
672,1.14E-16,1.30E-18,0.0948,8.80554377,8.35E-01,262.85,BRCA1,BRCA1 DNA repair associated
220042,1.16E-16,1.33E-18,0.1567,8.80288287,1.38,74.33,DDIAS,DNA damage induced apoptosis suppressor
3486,1.19E-16,1.37E-18,0.2743,8.79951589,2.41,1481.86,IGFBP3,insulin like growth factor binding protein 3
1293,1.27E-16,1.47E-18,0.2778,8.79180929,2.44,418.58,COL6A3,collagen type VI alpha 3 chain
301,1.29E-16,1.50E-18,0.2724,8.78999187,2.39,1752.11,ANXA1,annexin A1
1062,1.32E-16,1.55E-18,0.1836,8.78583535,1.61,153.23,CENPE,centromere protein E
11130,1.32E-16,1.55E-18,0.1457,8.78586097,1.28,242.08,ZWINT,ZW10 interacting kinetochore protein
91687,1.39E-16,1.64E-18,0.0792,8.77959448,6.95E-01,96.14,CENPL,centromere protein L
90853,1.39E-16,1.66E-18,0.327,8.77844573,2.87,551.16,SPOCD1,SPOC domain containing 1
9837,1.39E-16,1.66E-18,0.1137,8.77845173,9.99E-01,164.09,GINS1,GINS complex subunit 1
8463,1.56E-16,1.86E-18,0.1485,8.76547546,1.3,184.06,TEAD2,TEA domain transcription factor 2
64946,1.64E-16,1.96E-18,0.1228,8.75946488,1.08,129.1,CENPH,centromere protein H
29089,1.65E-16,1.98E-18,0.1438,8.75817272,1.26,130.8,UBE2T,ubiquitin conjugating enzyme E2 T
3161,1.67E-16,2.01E-18,0.1732,8.75648921,1.52,72.4,HMMR,hyaluronan mediated motility receptor
10123,1.69E-16,2.05E-18,0.1617,8.75425574,1.42,1160.91,ARL4C,ADP ribosylation factor like GTPase 4C
6491,2.42E-16,2.95E-18,0.1225,8.71345224,1.07,113.04,STIL,STIL centriolar assembly protein
304,2.47E-16,3.03E-18,0.2348,8.71019774,2.05,70.12,ANXA2P2,annexin A2 pseudogene 2
5271,2.47E-16,3.02E-18,0.1272,8.71064986,1.11,197,SERPINB8,serpin family B member 8
9260,2.55E-16,3.15E-18,0.1417,8.70601374,1.23,412.73,PDLIM7,PDZ and LIM domain 7
4171,2.82E-16,3.50E-18,0.1267,8.69395708,1.1,395.74,MCM2,minichromosome maintenance complex component 2
55038,2.95E-16,3.67E-18,0.1182,8.68848573,1.03,100.56,CDCA4,cell division cycle associated 4
55240,3.17E-16,3.97E-18,0.224,8.67977162,1.94,346.73,STEAP3,STEAP3 metalloreductase
7791,3.32E-16,4.17E-18,0.1315,8.67411332,1.14,2073.61,ZYX,zyxin
6588,3.35E-16,4.22E-18,0.3673,8.67271522,3.19,106.66,SLN,sarcolipin
3598,3.41E-16,4.32E-18,0.3022,8.67008462,2.62,116.77,IL13RA2,interleukin 13 receptor subunit alpha 2
25788,3.45E-16,4.39E-18,0.1034,8.66832152,8.96E-01,167.13,RAD54B,RAD54 homolog B
10252,3.60E-16,4.59E-18,0.1848,8.66313666,1.6,301.78,SPRY1,sprouty RTK signaling antagonist 1
5292,3.92E-16,5.02E-18,0.1297,8.65291002,1.12,387.08,PIM1,"Pim-1 proto-oncogene, serine/threonine kinase"
5738,3.92E-16,5.05E-18,0.1384,8.65234568,1.2,833.15,PTGFRN,prostaglandin F2 receptor inhibitor
106633814,4.15E-16,5.37E-18,0.1384,8.64532956,1.2,108.29,SNORA86,"small nucleolar RNA, H/ACA box 86"
9871,4.20E-16,5.45E-18,0.1198,8.64352555,1.04,357.92,SEC24D,"SEC24 homolog D, COPII coat complex component"
